카테고리코드,그룹,물품명,실행가(VAT포함),청구가(VAT포함),고정가,활성상태,비용구분코드,브랜드코드,순번,기기,워런티청구여부
KS-N-81,수리/교체,KS net 단말기 소켓,11000,33000,TRUE,TRUE,KS,N,81,,
KS-N-82,수리/교체,드라이브 모터,,,FALSE,TRUE,KS,N,82,,
KS-N-83,수리/교체,버너센서,,,FALSE,TRUE,KS,N,83,,
KS-N-84,수리/교체,AB케이블,,,FALSE,TRUE,KS,N,84,,
KS-N-85,수리/교체,전원 어댑터,,,FALSE,TRUE,KS,N,85,,
KS-N-86,수리/교체,랜 케이블,,,FALSE,TRUE,KS,N,86,,
KS-N-87,수리/교체,랜 커넥터,70,,FALSE,TRUE,KS,N,87,,
KS-N-88,수리/교체,WB_공용_에어댐퍼,,12000,FALSE,TRUE,KS,N,88,건조기,
KS-N-89,수리/교체,팬모터 인버터,,,FALSE,TRUE,KS,N,89,건조기,
KS-N-90,수리/교체,인버터,,,FALSE,TRUE,KS,N,90,,
KS-N-91,수리/교체,내통,,,FALSE,TRUE,KS,N,91,,
KS-N-92,수리/교체,도어씰,,,FALSE,TRUE,KS,N,92,,
KS-N-93,수리/교체,타일자재,실행가,실행가,FALSE,TRUE,KS,N,93,,
KS-N-94,수리/교체,메인 차단기,12100,16500,FALSE,TRUE,KS,N,94,,
KS-N-95,수리/교체,누수AS,실행가,실행가,FALSE,TRUE,KS,N,95,,
KS-N-96,수리/교체,앙카,실행가,실행가,FALSE,TRUE,KS,N,96,,
KS-N-97,수리/교체,수위센서,실행가,실행가,FALSE,TRUE,KS,N,97,,
KS-N-98,수리/교체,세제관,실행가,실행가,FALSE,TRUE,KS,N,98,,
KS-N-99,수리/교체,롯데기공AS,실행가,실행가,FALSE,TRUE,KS,N,99,,
KS-N-100,수리/교체,유비씨엔AS,55000,55000,FALSE,TRUE,KS,N,100,,
KS-N-101,수리/교체,리셋 스위치,,,FALSE,TRUE,KS,N,101,,
KS-N-102,수리/교체,USB,5000,6000,FALSE,TRUE,KS,N,102,,
SV-N-18,매장소모품,건전지 구입,,실행가,FALSE,TRUE,SV,N,18,,
SV-N-02,매장소모품,확산등 교체,,6000,TRUE,TRUE,SV,N,02,,
SV-N-03,매장소모품,문풍지작업 (해충유입방지),,,FALSE,TRUE,SV,N,03,,
SV-N-04,매장소모품,공용_볼탑 15A,실행가,330000,TRUE,TRUE,SV,N,04,,
SV-N-05,매장소모품,공용_볼탑 20A,실행가,330000,TRUE,TRUE,SV,N,05,,
SV-N-06,매장소모품,공용_정수위밸브,실행가,330000,TRUE,TRUE,SV,N,06,,
SV-N-07,매장소모품,통신용 공유기/허브,26000,35200,TRUE,TRUE,SV,N,07,,
--103,민원,고객피해보상,,,FALSE,TRUE,,,103,,
--,,,,,,,,,,,
--,,,,,,,,,,,
--,,,,,,,,,,,
