상태,도감ID,name,brand,group,device,photo_urls,nickname,location,memo,frequency
기존매칭,KS-N-09,볼탑 15A,공용,,,https://drive.google.com/open?id=15uuf7QC-ZN2M2EoW1zPT48xnuqJ9ioTy|https://drive.google.com/open?id=1Bi4C9642jebIzFBbfLafsWc0lGqXCTQC|https://drive.google.com/open?id=1Nyn8O45ZqIg80K1y798t_Ru-CCqADzx4,"보통 연결부분만 쓰는 경우가 많음. 원이랑 막대는 종종 안쓸때가 생김(세트제품)",낙성대 백룸,,3
기존매칭,KS-WB-12,팬모터,우방,1단,건조기,https://drive.google.com/open?id=1jvvzFxTzuf5pjViV4Lkrv-xrW28s52iC|https://drive.google.com/open?id=1FBrtI8QGd-y_sT3exzHBVqdb5nkl6igU|https://drive.google.com/open?id=1_oJN9Fk9gqVM-7JblTb4FmEvUP3JdOB8|https://drive.google.com/open?id=1vKutnRdmbMUwis-jrqT1rY_sIMHqXWRX,,낙성대 백룸,,3
신규등록,,급수 솔레노이드,우방,,세탁기,https://drive.google.com/open?id=19ykZZWc9vNlVzWcAQuWv46nr2Kj8lS0p|https://drive.google.com/open?id=1-C9XA-yEYChhw6a_p433TETSZnkMC2kS|https://drive.google.com/open?id=1UUT6iJJ4PmjjEtxl6h0VBhc2Tqzlx3uf|https://drive.google.com/open?id=1oR98LJykAdZ1Wa1tyyt3aezCsRAYh7Y4,,낙성대 백룸,,3
기존매칭,KS-WB-19,온도센서,우방,공용,건조기,https://drive.google.com/open?id=1i9n4ZObX922FLAUFnFwqQPYmiIgY9nok|https://drive.google.com/open?id=1XJYcr1BgDTqkrvqh85_wLlQInaDZJSgv,,낙성대 백룸,,
신규등록,,WB 가스 솔레노이드 밸브,우방,공용,건조기,https://drive.google.com/open?id=1XKu3i-D-zB0du8iTCXTDt0-nZOLYlm1c|https://drive.google.com/open?id=1WXkBGyjDUdK03Vece6_IDccnpjA3MlFZ|https://drive.google.com/open?id=1KQEiLl04c5wHpG5pKLigxj-4BhUzIaE1|https://drive.google.com/open?id=1xTEPF12HQyhrID044-WAYgSfq1_0GCFc,,낙성대 백룸,,
기존매칭,KS-IT-13,통신용 공유기/허브,IT,,IT장비,https://drive.google.com/open?id=1x_fBFJTQX7OxqZ7dUgRE1RWm66cgDOoE|https://drive.google.com/open?id=1j7UEN-pSsDjLw-FnnfZ_zqboZHB18PV9|https://drive.google.com/open?id=1_QE4NMvmhYsC_N2MFlFMtZqOzkzoeWWS|https://drive.google.com/open?id=1gGKo8fGSWUwza3pe8jks_q325fz41NJ3,공유기,낙성대 백룸,,3
기존매칭,KS-DN-12,보드,다뉴브,ET2,건조기,https://drive.google.com/open?id=1LN3SvDzyhy65qh73sO0vpt0adVGQz7_e|https://drive.google.com/open?id=1TwlWh9fRmB_OtCaUJLz-rYTJqtL-H5J_|https://drive.google.com/open?id=1zHoviM7N4mKL1ftoWVZUsb-AwYQIlbx2,,낙성대 백룸,,
신규등록,,우방 배선 커넥터,우방,공용,건조기,https://drive.google.com/open?id=1qqmRCDDfERaMqQzemjnOYw-_yuBPdnCp|https://drive.google.com/open?id=1YRo70nnne2tDxV_qyBdWxmBDO4jKRmNc|https://drive.google.com/open?id=1BzVpUV6sigPRZ04ZWRp9f5fzJf3lHEyF|https://drive.google.com/open?id=1PyU0HDutkLUS9IIViuU3AB4zw8cPqqIo,배선 커넥터,낙성대 백룸,"한번도 써본적 없음. 선과 선을 연결하는 용도. 팬모터에 동봉되는것 같음. 주요부품 아닌듯",1
기존매칭,KS-WB-17,세제펌프,우방,공용,세탁기,https://drive.google.com/open?id=1HiOavfGOTTm6Dgdys2m8-VX0vouBPzJU|https://drive.google.com/open?id=1y-Jm4CIa3KzwAYRONWW1VayYp-Ml9CE7|https://drive.google.com/open?id=1Vny71a9Kd3CKOr_MRsPcfGcXTCXdwHzw|https://drive.google.com/open?id=1qj7wz_EMUqTDuG2NlM7FOB59wWH3xTZt,,낙성대 백룸,,3
기존매칭,KS-WB-13,도어캐치 ASSY,우방,공용,,https://drive.google.com/open?id=1uMvuPcwoMeo3IZI4MnQqqx7himo0sffH|https://drive.google.com/open?id=1Lg_dTAifx6Xx7ucLedUIe-4jjTcyYe_k,"도어브라켓/도어캐치아쎄이/도어캐치 중복있음",,보통 왼쪽 회색만(도어브라켓) / 회색+검정손잡이까지(도어캐치 assay) - 상황에 따라 하나만 or 통으로 교체,
기존매칭,KS-DN-01,세제펌프,다뉴브,공용,세탁기,https://drive.google.com/open?id=1ghLdG21wICUdXBr0Hc91wzhzgepaGFfn|https://drive.google.com/open?id=1RG0wRktkdG3t5w1S7PFsOAhxMEx2UaEA|https://drive.google.com/open?id=1hGFBFDrM4D8dy7muvVkWC7Vg2B_wGOFx,,낙성대 백룸,,
기존매칭,KS-DN-16,도어락어셈블리,다뉴브,공용,세탁기,https://drive.google.com/open?id=10URoKPg80pyzJBseWmerSGX4MlljtaBN|https://drive.google.com/open?id=1bkEL6ePd3IMndcTlUrSC5XmevaXTkmjU|https://drive.google.com/open?id=1hwe7N4RQQyE6rmIfQEOwJiSGcAgo1tBs,"어셈블리 = 아세이",낙성대 백룸,,3
기존매칭,KS-VM-03,스파이럴 (멀티),자판기,멀티,자판기,https://drive.google.com/open?id=1qDjpRLmrZBKzREbCToPqBorsqStE4cBs|https://drive.google.com/open?id=1Z6Td_7zCjXCok_k82Zqm73IZAhdaMFCG,,낙성대 백룸,,3
신규등록,,멀티자판기 부품(미식별),자판기,멀티,자판기,https://drive.google.com/open?id=1ZdKHZN0aATPRF8QXpFvWmFQ9KpFtnA_h|https://drive.google.com/open?id=1ynGeP3MQXnqz_tVtgOUZ5cKUeNA6ZN22,,낙성대 백룸,정확한 이름 파악 필요,3
